Undefined offset: 1 : line:137 , date: 2019-12-31 06:59:05; filename: 4_5767208546638760101.csv; 
Undefined offset: 1 : line:151 , date: 2019-12-31 13:04:37; filename: ferdows_20191214.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 13:04:37; filename: fereydunkenar_20191214.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 13:04:37; filename: fuman_20191214.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 13:04:37; filename: garmsar_20191215.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 13:04:37; filename: ghayen_20191214.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 13:04:37; filename: golpayegan_20191215.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 13:04:37; filename: gomishan_20191215.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 13:04:37; filename: gonabad_20191215.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 13:04:37; filename: gonbad-kavus_20191215.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 13:04:37; filename: gorgan_20191215.csv; 

Undefined offset: 1 : line:137 , date: 2019-12-31 13:05:28; filename: isfahan_2019126.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 13:05:28; filename: kangavar_20191215.csv; 

Undefined offset: 1 : line:137 , date: 2019-12-31 13:06:09; filename: karaj_2019121.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 13:27:52; filename: karaj_2019122.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 13:38:18; filename: nowshahr_20191216.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 13:38:18; filename: nowshahr_20191217.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 13:38:18; filename: nur_20191216.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 13:38:18; filename: nurabad_20191216.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 13:38:18; filename: qaemshahr_20191214.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 13:38:18; filename: qazvin_20191214.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 13:38:18; filename: qeshm_20191214.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 13:38:18; filename: qeydar_20191214.csv; 

Undefined offset: 1 : line:137 , date: 2019-12-31 13:38:25; filename: qom_2019128.csv; 

Undefined offset: 1 : line:137 , date: 2019-12-31 13:38:29; filename: qom_2019129.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 13:38:29; filename: qorveh_20191214.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 13:38:29; filename: rasht_2019128.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 13:38:29; filename: shahrekord_20191213.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 13:38:29; filename: shahrekord_20191214.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 13:38:29; filename: abadeh_20191129.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 13:38:48; filename: ahvaz_2019126.csv; 

Undefined offset: 1 : line:137 , date: 2019-12-31 13:39:03; filename: ahvaz_2019127.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 13:39:03; filename: aliabad-katul_20191214.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 13:39:03; filename: falavarjan_20191214.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 13:39:03; filename: farrokhshahr_20191214.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 13:39:03; filename: ferdows_20191214.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 13:39:03; filename: fereydunkenar_20191214.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 13:39:03; filename: fuman_20191214.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 13:39:03; filename: garmsar_20191215.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 13:39:04; filename: ghayen_20191214.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 13:39:04; filename: golpayegan_20191215.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 13:39:04; filename: gomishan_20191215.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 13:39:04; filename: gonabad_20191215.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 13:39:04; filename: gonbad-kavus_20191215.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 13:39:04; filename: gorgan_20191215.csv; 

Undefined offset: 1 : line:137 , date: 2019-12-31 13:40:06; filename: isfahan_2019126.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 13:40:06; filename: kangavar_20191215.csv; 

Undefined offset: 1 : line:137 , date: 2019-12-31 13:40:50; filename: karaj_2019121.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 13:41:43; filename: karaj_2019122.csv; 

Undefined offset: 1 : line:137 , date: 2019-12-31 13:54:22; filename: karaj_2019123.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 14:11:51; filename: nowshahr_20191216.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 14:11:51; filename: nowshahr_20191217.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 14:11:51; filename: nur_20191216.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 14:11:51; filename: nurabad_20191216.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 14:11:51; filename: qaemshahr_20191214.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 14:11:51; filename: qazvin_20191214.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 14:11:51; filename: qeshm_20191214.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 14:11:51; filename: qeydar_20191214.csv; 

Undefined offset: 1 : line:137 , date: 2019-12-31 14:11:59; filename: qom_2019128.csv; 

Undefined offset: 1 : line:137 , date: 2019-12-31 14:12:03; filename: qom_2019129.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 14:12:03; filename: qorveh_20191214.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 14:12:03; filename: rasht_2019128.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 14:12:03; filename: shahrekord_20191213.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 14:12:03; filename: shahrekord_20191214.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 14:12:03; filename: abadeh_20191129.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 14:12:21; filename: ahvaz_2019126.csv; 

Undefined offset: 1 : line:137 , date: 2019-12-31 14:12:37; filename: ahvaz_2019127.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 14:12:37; filename: aliabad-katul_20191214.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 14:12:37; filename: falavarjan_20191214.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 14:12:37; filename: farrokhshahr_20191214.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 14:12:37; filename: ferdows_20191214.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 14:12:37; filename: fereydunkenar_20191214.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 14:12:37; filename: fuman_20191214.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 14:12:37; filename: garmsar_20191215.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 14:12:37; filename: ghayen_20191214.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 14:12:37; filename: golpayegan_20191215.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 14:12:37; filename: gomishan_20191215.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 14:12:37; filename: gonabad_20191215.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 14:12:37; filename: gonbad-kavus_20191215.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 14:12:37; filename: gorgan_20191215.csv; 

Undefined offset: 1 : line:137 , date: 2019-12-31 14:13:41; filename: isfahan_2019126.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 14:13:41; filename: kangavar_20191215.csv; 

Undefined offset: 1 : line:137 , date: 2019-12-31 14:14:36; filename: karaj_2019121.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 14:15:45; filename: karaj_2019122.csv; 

Undefined offset: 1 : line:137 , date: 2019-12-31 14:16:52; filename: karaj_2019123.csv; 

Undefined offset: 1 : line:137 , date: 2019-12-31 14:22:46; filename: karaj_2019124.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 14:22:46; filename: kashan_20191214.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 14:22:46; filename: kelachay_20191215.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 14:22:46; filename: kerman_20191214.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 14:22:46; filename: kermanshah_2019128.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 14:22:47; filename: kish_20191215.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 14:22:47; filename: kordkuy_20191214.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 14:22:47; filename: kuhdasht_20191215.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 14:22:47; filename: lahijan_20191215.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 14:22:47; filename: langarud_20191215.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 14:22:47; filename: lordegan_20191215.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 14:22:47; filename: mahabad_20191216.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 14:22:47; filename: mahalat_20191215.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 14:22:47; filename: mahmudabad_20191215.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 14:22:47; filename: maku_20191215.csv; 

